GENESIS-Tabelle: 13211-0002
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen,;;;;;;;;
Kurzarbeiter, Kurzarbeitende Betriebe: Deutschland/;;;;;;;;
Früheres Bundesgebiet/Neue Länder, Monate;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
;;;Anzahl;Prozent;Prozent;Anzahl;Anzahl;Anzahl
Neue Länder;2022;April;547568;6,4;7,1;161434;84611;13478
Neue Länder;2022;Mai;534202;6,3;6,9;162479;52845;9085
Neue Länder;2022;Juni;553418;6,5;7,2;163428;46441;7289
Neue Länder;2022;Juli;575679;6,8;7,5;163296;17820;1328
Neue Länder;2022;August;591442;7,0;7,7;163546;18433;1286
Neue Länder;2022;September;574800;6,8;7,5;160187;18007;1298
Neue Länder;2022;Oktober;568284;6,7;7,4;153516;21592;1431
Neue Länder;2022;November;566993;6,7;7,4;148878;21824;1725
Neue Länder;2022;Dezember;575604;6,8;7,5;142128;80980;10085
Neue Länder;2023;Januar;614916;7,3;8,0;138242;92549;11645
Neue Länder;2023;Februar;616989;7,3;8,0;141530;93346;11775
Neue Länder;2023;März;611443;7,2;7,9;142938;80954;10601
Neue Länder;2023;April;606701;7,2;7,9;141871;21704;1605
